config,display_name,label_fraction,seed,smoothed_acc
baseline,baseline,0.01,0,0.19208750000000002
baseline,baseline,0.01,1,0.208075
baseline,baseline,0.01,2,0.21491249999999998
baseline,baseline,0.05,0,0.273325
baseline,baseline,0.05,1,0.26317500000000005
baseline,baseline,0.05,2,0.266275
baseline,baseline,0.1,0,0.3016875
baseline,baseline,0.1,1,0.3087125
baseline,baseline,0.1,2,0.29738749999999997
baseline,baseline,1.0,0,0.2718625
baseline,baseline,1.0,1,0.2697625
baseline,baseline,1.0,2,0.28526250000000003
fusion/dino_diffusion,DINO + Diffusion,0.01,0,0.143125
fusion/dino_diffusion,DINO + Diffusion,0.01,1,0.1346375
fusion/dino_diffusion,DINO + Diffusion,0.01,2,0.18002500000000002
fusion/dino_diffusion,DINO + Diffusion,0.05,0,0.268275
fusion/dino_diffusion,DINO + Diffusion,0.05,1,0.3116875
fusion/dino_diffusion,DINO + Diffusion,0.05,2,0.2702
fusion/dino_diffusion,DINO + Diffusion,0.1,0,0.2886
fusion/dino_diffusion,DINO + Diffusion,0.1,1,0.29215
fusion/dino_diffusion,DINO + Diffusion,0.1,2,0.29399999999999993
fusion/dino_diffusion,DINO + Diffusion,1.0,0,0.6814749999999999
fusion/dino_diffusion,DINO + Diffusion,1.0,1,0.6716
fusion/dino_diffusion,DINO + Diffusion,1.0,2,0.67465
fusion/mae_diffusion,MAE + Diffusion,0.01,0,0.20125
fusion/mae_diffusion,MAE + Diffusion,0.01,1,0.1452625
fusion/mae_diffusion,MAE + Diffusion,0.01,2,0.2110125
fusion/mae_diffusion,MAE + Diffusion,0.05,0,0.3404
fusion/mae_diffusion,MAE + Diffusion,0.05,1,0.32021249999999996
fusion/mae_diffusion,MAE + Diffusion,0.05,2,0.3189
fusion/mae_diffusion,MAE + Diffusion,0.1,0,0.33792500000000003
fusion/mae_diffusion,MAE + Diffusion,0.1,1,0.32093750000000004
fusion/mae_diffusion,MAE + Diffusion,0.1,2,0.37429999999999997
fusion/mae_diffusion,MAE + Diffusion,1.0,0,0.5732250000000001
fusion/mae_diffusion,MAE + Diffusion,1.0,1,0.5655625
fusion/mae_diffusion,MAE + Diffusion,1.0,2,0.562075
fusion/mae_dino,MAE + DINO,0.01,0,0.37475
fusion/mae_dino,MAE + DINO,0.01,1,0.38677500000000004
fusion/mae_dino,MAE + DINO,0.01,2,0.42410000000000003
fusion/mae_dino,MAE + DINO,0.05,0,0.46537500000000004
fusion/mae_dino,MAE + DINO,0.05,1,0.46706250000000005
fusion/mae_dino,MAE + DINO,0.05,2,0.4528125
fusion/mae_dino,MAE + DINO,0.1,0,0.4386
fusion/mae_dino,MAE + DINO,0.1,1,0.4582125
fusion/mae_dino,MAE + DINO,0.1,2,0.460625
fusion/mae_dino,MAE + DINO,1.0,0,0.6414375000000001
fusion/mae_dino,MAE + DINO,1.0,1,0.6368500000000001
fusion/mae_dino,MAE + DINO,1.0,2,0.6297625
fusion/mae_dino_diffusion,MAE + DINO + Diffusion ★,0.01,0,0.18286249999999998
fusion/mae_dino_diffusion,MAE + DINO + Diffusion ★,0.01,1,0.157
fusion/mae_dino_diffusion,MAE + DINO + Diffusion ★,0.01,2,0.202625
fusion/mae_dino_diffusion,MAE + DINO + Diffusion ★,0.05,0,0.32525
